DATE,MONTH,TEMP_MAX,TEMP_MIN,TEMP_AVG,PRES_AVG,PRES_MAX,PRES_MIN,HUM_AVG,HUM_MAX,HUM_MIN
2000-02-18,FEBRUARY,35.2,19.6,27.4,21.8,24.4,19.4,66.0,96.0,36.0
2000-02-19,FEBRUARY,33.8,19.5,26.65,22.8,24.9,20.1,72.0,96.0,40.0
2000-02-20,FEBRUARY,33.6,21.4,27.5,23.3,24.8,20.1,73.0,96.0,42.0
2000-02-21,FEBRUARY,31.8,19.3,25.55,22.3,26.1,19.4,75.0,95.0,46.0
2000-02-22,FEBRUARY,32.4,15.9,24.15,17.6,22.4,16.5,67.0,91.0,39.0
2000-02-23,FEBRUARY,34.1,16.5,25.3,18.1,23.1,15.1,66.0,83.0,29.0
2000-02-24,FEBRUARY,33.9,19.0,26.45,19.4,21.7,16.5,65.0,91.0,36.0
2000-02-25,FEBRUARY,33.9,18.2,26.05,20.0,21.7,18.4,64.0,88.0,37.0
2000-02-26,FEBRUARY,35.0,18.3,26.65,20.2,21.9,18.5,62.0,90.0,35.0
2000-02-27,FEBRUARY,33.8,20.0,26.9,21.8,25.2,17.7,69.0,93.0,35.0
2000-02-28,FEBRUARY,33.6,20.5,27.05,21.8,24.4,18.7,71.0,98.0,38.0
2000-02-29,FEBRUARY,34.4,19.2,26.8,21.2,23.7,18.8,67.0,96.0,37.0
2000-03-01,MARCH,35.0,19.4,27.2,18.9,21.7,14.3,62.0,91.0,26.0
2000-03-02,MARCH,33.0,19.2,26.1,20.1,22.4,17.4,58.0,92.0,39.0
2000-03-03,MARCH,32.0,18.5,25.25,20.8,23.4,18.5,66.0,93.0,42.0
2000-03-04,MARCH,33.8,18.8,26.3,20.7,22.4,17.7,65.0,93.0,36.0
2000-03-05,MARCH,34.8,19.9,27.35,21.2,24.4,18.4,65.0,90.0,34.0
2000-03-06,MARCH,34.6,20.0,27.3,21.6,24.0,18.4,67.0,93.0,35.0
2000-03-07,MARCH,31.8,21.2,26.5,22.2,23.9,19.9,63.0,90.0,37.0
2000-03-08,MARCH,35.5,21.3,28.4,22.9,24.7,19.6,65.0,93.0,39.0
2000-03-09,MARCH,35.2,21.1,28.15,23.2,25.4,20.5,69.0,92.0,40.0
2000-03-10,MARCH,35.2,21.2,28.2,23.0,25.2,19.7,67.0,88.0,37.0
2000-03-11,MARCH,36.8,20.6,28.7,22.9,25.3,20.0,65.0,97.0,33.0
2000-03-12,MARCH,35.4,20.0,27.7,23.5,26.3,20.8,73.0,92.0,41.0
2000-03-13,MARCH,35.2,21.0,28.1,23.1,25.6,19.9,78.0,94.0,36.0
2000-03-14,MARCH,34.1,20.5,27.3,22.2,25.6,18.3,68.0,92.0,42.0
2000-03-15,MARCH,35.2,20.4,27.8,23.6,26.3,21.9,71.0,97.0,41.0
2000-03-16,MARCH,37.4,22.1,29.75,25.4,27.2,21.4,77.0,97.0,32.0
2000-03-17,MARCH,37.2,21.5,29.35,25.0,28.1,22.3,72.0,99.0,35.0
2000-03-18,MARCH,36.5,21.5,29.0,23.5,25.2,21.9,64.0,92.0,38.0
2000-03-19,MARCH,36.5,21.2,28.85,23.8,27.7,22.1,71.0,95.0,38.0
2000-03-20,MARCH,37.9,22.7,30.3,24.8,26.8,20.7,69.0,95.0,34.0
2000-03-21,MARCH,36.8,20.5,28.65,21.2,23.6,18.0,59.0,98.0,35.0
2000-03-22,MARCH,36.9,21.5,29.2,22.9,25.4,18.8,65.0,91.0,32.0
2000-03-23,MARCH,36.5,20.1,28.3,22.5,24.1,18.8,66.0,94.0,36.0
2000-03-24,MARCH,35.3,21.0,28.15,22.9,26.1,20.5,70.0,99.0,37.0
2000-03-25,MARCH,36.5,20.3,28.4,21.5,23.1,18.1,63.0,87.0,33.0
2000-03-26,MARCH,36.6,20.0,28.3,21.3,23.7,18.1,63.0,88.0,34.0
2000-03-27,MARCH,38.4,19.1,28.75,21.4,25.9,17.4,64.0,87.0,26.0
2000-03-28,MARCH,40.0,19.6,29.8,21.6,26.0,16.0,60.0,89.0,26.0
2000-03-29,MARCH,40.2,22.3,31.25,22.5,25.1,17.1,56.0,90.0,26.0
2000-03-30,MARCH,40.9,22.6,31.75,25.2,26.5,21.2,64.0,92.0,30.0
2000-03-31,MARCH,40.0,22.2,31.1,26.6,28.8,21.3,73.0,94.0,30.0
2000-04-01,APRIL,40.0,22.5,31.25,23.5,27.6,19.9,58.0,94.0,29.0
2000-04-02,APRIL,40.4,21.7,31.05,22.1,25.7,18.0,55.0,93.0,25.0
2000-04-03,APRIL,39.4,22.0,30.7,24.2,29.4,18.0,68.0,96.0,26.0
2000-04-04,APRIL,29.8,20.8,25.3,23.3,29.2,16.4,75.0,98.0,54.0
2000-04-05,APRIL,30.5,20.0,25.25,16.6,18.8,14.1,59.0,79.0,37.0
2000-04-06,APRIL,34.9,17.4,26.15,17.3,21.1,15.2,57.0,80.0,33.0
2000-04-07,APRIL,37.3,20.0,28.65,22.5,28.3,18.1,63.0,87.0,33.0
2000-04-08,APRIL,37.2,22.8,30.0,25.6,27.3,23.3,71.0,96.0,38.0
2000-04-09,APRIL,33.8,21.9,27.85,22.9,25.7,18.9,70.0,93.0,36.0
2000-04-10,APRIL,35.4,20.6,28.0,20.5,21.7,17.5,61.0,81.0,36.0
2000-04-11,APRIL,35.4,21.5,28.45,21.5,24.9,17.4,60.0,91.0,36.0
2000-04-12,APRIL,38.0,21.0,29.5,23.1,26.5,18.8,64.0,90.0,33.0
2000-04-13,APRIL,34.2,21.7,27.95,24.6,26.7,22.0,74.0,91.0,42.0
2000-04-14,APRIL,32.4,18.9,25.65,22.5,23.7,20.9,75.0,100.0,46.0
2000-04-15,APRIL,38.4,20.3,29.35,24.2,29.2,19.9,69.0,93.0,30.0
2000-04-16,APRIL,38.8,22.5,30.65,25.2,27.1,21.2,66.0,97.0,32.0
2000-04-17,APRIL,38.0,23.5,30.75,24.7,28.0,19.7,67.0,95.0,31.0
2000-04-18,APRIL,37.3,20.6,28.95,21.7,25.3,17.4,62.0,93.0,28.0
2000-04-19,APRIL,38.2,21.1,29.65,21.4,23.7,15.7,59.0,82.0,24.0
2000-04-20,APRIL,38.4,20.5,29.45,22.0,23.7,19.1,60.0,88.0,29.0
2000-04-21,APRIL,36.8,20.5,28.65,22.0,23.2,19.7,64.0,90.0,37.0
2000-04-22,APRIL,36.4,16.6,26.5,20.6,24.7,16.1,69.0,96.0,28.0
2000-04-23,APRIL,40.4,21.1,30.75,23.6,26.0,20.1,60.0,90.0,27.0
2000-04-24,APRIL,40.4,22.9,31.65,25.0,29.2,20.1,64.0,89.0,27.0
2000-04-25,APRIL,38.0,23.2,30.6,26.7,29.6,22.9,69.0,92.0,37.0
2000-04-26,APRIL,38.7,23.9,31.3,27.3,29.6,21.2,71.0,92.0,29.0
2000-04-27,APRIL,37.8,23.9,30.85,24.9,27.4,21.6,67.0,92.0,34.0
2000-04-28,APRIL,39.7,22.6,31.15,25.1,27.3,21.1,66.0,93.0,30.0
2000-04-29,APRIL,39.6,21.0,30.3,25.0,27.35,21.35,66.5,92.5,32.0
2000-04-30,APRIL,39.0,22.3,30.65,22.85,27.75,17.75,60.0,89.0,27.5
2000-05-01,MAY,39.4,22.0,30.7,22.6,29.9,16.8,59.0,88.0,25.0
2000-05-02,MAY,38.4,22.0,30.2,23.1,25.6,18.7,61.0,90.0,30.0
2000-05-03,MAY,38.8,22.2,30.5,22.4,25.4,17.1,61.0,89.0,27.0
2000-05-04,MAY,39.0,22.8,30.9,23.0,25.9,19.2,58.0,89.0,30.0
2000-05-05,MAY,39.6,23.0,31.3,24.1,26.7,20.0,62.0,87.0,31.0
2000-05-06,MAY,39.0,24.3,31.65,25.2,28.0,20.7,66.0,89.0,31.0
2000-05-07,MAY,38.2,24.1,31.15,24.4,28.0,20.1,62.0,90.0,31.0
2000-05-08,MAY,38.2,23.4,30.8,24.6,27.9,21.2,64.0,90.0,33.0
2000-05-09,MAY,39.0,23.8,31.4,25.0,28.5,20.8,60.0,91.0,31.0
2000-05-10,MAY,40.2,24.5,32.35,26.3,29.7,22.4,56.0,91.0,30.0
2000-05-11,MAY,39.4,24.5,31.95,23.8,29.2,20.7,51.0,91.0,30.0
2000-05-12,MAY,39.4,24.4,31.9,24.8,28.3,20.9,58.0,92.0,30.0
2000-05-13,MAY,39.8,24.5,32.15,26.6,30.5,22.5,67.0,91.0,32.0
2000-05-14,MAY,31.1,22.8,26.95,27.3,30.0,25.2,89.0,98.0,69.0
2000-05-15,MAY,35.1,21.4,28.25,27.2,31.3,25.4,77.0,98.0,49.0
2000-05-16,MAY,35.2,23.8,29.5,26.8,29.6,23.3,73.0,94.0,43.0
2000-05-17,MAY,37.4,23.0,30.2,27.0,30.0,22.0,67.0,91.0,37.0
2000-05-18,MAY,37.4,23.2,30.3,26.7,33.3,23.1,64.0,95.0,38.0
2000-05-19,MAY,37.4,24.5,30.95,28.3,30.1,25.1,69.0,95.0,42.0
2000-05-20,MAY,34.7,24.9,29.8,27.7,30.3,24.0,70.0,92.0,44.0
2000-05-21,MAY,38.6,23.6,31.1,27.1,30.5,23.6,67.0,94.0,35.0
2000-05-22,MAY,38.4,24.5,31.45,27.9,32.4,23.1,68.0,92.0,36.0
2000-05-23,MAY,38.5,23.9,31.2,27.4,31.1,22.1,64.0,93.0,33.0
2000-05-24,MAY,40.4,24.4,32.4,29.6,33.1,23.2,64.0,94.0,40.0
2000-05-25,MAY,40.4,25.0,32.7,27.9,31.3,23.1,62.0,90.0,31.0
2000-05-26,MAY,40.2,24.0,32.1,27.7,29.9,23.3,63.0,94.0,32.0
2000-05-27,MAY,40.0,25.0,32.5,27.7,30.5,23.1,64.0,92.0,32.0
2000-05-28,MAY,36.4,23.1,29.75,26.7,30.4,21.3,82.0,98.0,32.0
2000-05-29,MAY,36.7,22.9,29.8,28.3,33.2,31.7,77.0,98.0,47.0
2000-05-30,MAY,36.7,23.5,30.1,26.6,30.7,20.9,71.0,95.0,38.0
2000-05-31,MAY,38.4,23.5,30.95,29.7,32.4,27.3,75.0,96.0,41.0
2000-06-01,JUNE,38.4,23.5,30.95,28.6,32.1,26.1,77.0,96.0,41.0
2000-06-02,JUNE,36.8,23.9,30.35,28.1,30.4,25.9,76.0,98.0,44.0
2000-06-03,JUNE,30.2,23.6,26.9,27.5,29.7,24.8,82.0,94.0,60.0
2000-06-04,JUNE,35.3,22.2,28.75,25.9,28.7,22.9,70.0,97.0,43.0
2000-06-05,JUNE,36.0,23.2,29.6,28.0,30.8,25.4,80.0,98.0,44.0
2000-06-06,JUNE,31.0,22.8,26.9,29.4,34.9,26.8,93.0,99.0,79.0
2000-06-07,JUNE,32.5,23.5,28.0,29.5,32.7,25.9,87.0,99.0,62.0
2000-06-08,JUNE,33.1,23.6,28.35,28.2,32.7,24.7,76.0,97.0,57.0
2000-06-09,JUNE,35.6,23.8,29.7,28.0,30.8,26.1,71.0,97.0,46.0
2000-06-10,JUNE,36.3,23.4,29.85,28.3,33.7,24.8,72.0,96.0,43.0
2000-06-11,JUNE,36.5,23.1,29.8,28.6,30.7,25.3,79.0,96.0,43.0
2000-06-12,JUNE,34.6,21.5,28.05,27.5,30.3,23.6,86.0,98.0,53.0
2000-06-13,JUNE,34.0,21.9,27.95,26.3,29.2,24.7,82.0,98.0,54.0
2000-06-14,JUNE,35.0,20.9,27.95,26.9,31.2,24.0,84.0,97.0,53.0
2000-06-15,JUNE,33.4,22.4,27.9,28.4,32.0,26.1,83.0,97.0,56.0
2000-06-16,JUNE,31.9,24.3,28.1,28.7,31.9,26.1,78.0,99.0,61.0
2000-06-17,JUNE,34.2,23.8,29.0,29.3,30.5,27.9,77.0,95.0,54.0
2000-06-18,JUNE,34.1,24.5,29.3,29.9,33.6,27.4,85.0,98.0,60.0
2000-06-19,JUNE,32.9,23.5,28.2,28.0,29.4,26.8,79.0,94.0,57.0
2000-06-20,JUNE,35.4,23.5,29.45,28.3,31.3,22.7,72.0,98.0,45.0
2000-06-21,JUNE,36.2,23.9,30.05,28.1,31.2,24.3,71.0,98.0,50.0
2000-06-22,JUNE,35.2,23.0,29.1,28.8,31.4,24.5,78.0,98.0,50.0
2000-06-23,JUNE,35.4,23.1,29.25,28.8,32.3,26.4,80.0,96.0,52.0
2000-06-24,JUNE,35.5,22.5,29.0,26.9,29.2,24.8,72.0,97.0,44.0
2000-06-25,JUNE,35.6,23.3,29.45,28.2,32.3,25.6,79.0,96.0,49.0
2000-06-26,JUNE,35.9,23.4,29.65,27.7,32.8,24.1,75.0,98.0,45.0
2000-06-27,JUNE,36.2,23.0,29.6,28.5,30.8,25.9,83.0,98.0,42.0
2000-06-28,JUNE,33.4,22.0,27.7,28.1,32.3,25.9,87.0,99.0,62.0
2000-06-29,JUNE,34.7,21.9,28.3,28.5,31.4,25.9,85.0,98.0,50.0
2000-06-30,JUNE,34.6,24.4,29.5,29.8,31.9,28.5,78.0,98.0,55.0
2000-07-01,JULY,35.0,23.0,29.0,28.0,30.1,26.0,74.0,97.0,49.0
2000-07-02,JULY,35.4,22.1,28.75,27.3,29.2,22.9,74.0,96.0,47.0
2000-07-03,JULY,34.4,23.0,28.7,27.2,30.1,24.8,74.0,97.0,48.0
2000-07-04,JULY,35.6,21.7,28.65,26.1,28.9,23.3,70.0,96.0,42.0
2000-07-05,JULY,36.5,24.0,30.25,29.0,32.3,26.4,73.0,96.0,47.0
2000-07-06,JULY,36.0,25.5,30.75,28.7,32.7,25.1,73.0,95.0,45.0
2000-07-07,JULY,35.8,22.0,28.9,28.1,30.3,23.1,75.0,97.0,42.0
2000-07-08,JULY,34.8,22.1,28.45,28.1,30.7,25.7,87.0,98.0,53.0
2000-07-09,JULY,34.4,21.8,28.1,28.0,31.1,25.2,77.0,97.0,51.0
2000-07-10,JULY,35.4,24.0,29.7,29.1,31.4,25.7,78.0,99.0,47.0
2000-07-11,JULY,35.6,23.4,29.5,28.3,32.0,23.6,76.0,98.0,45.0
2000-07-12,JULY,35.5,23.0,29.25,29.1,32.3,26.0,76.0,95.0,48.0
2000-07-13,JULY,35.7,23.0,29.35,27.3,30.4,24.0,71.0,95.0,43.0
2000-07-14,JULY,37.4,23.4,30.4,24.4,30.5,24.7,73.0,94.0,39.0
2000-07-15,JULY,37.1,22.2,29.65,28.4,30.7,25.1,72.0,96.0,43.0
2000-07-16,JULY,38.4,23.0,30.7,26.0,28.8,21.3,67.0,95.0,32.0
2000-07-17,JULY,36.1,23.4,29.75,27.7,30.0,25.2,71.0,96.0,45.0
2000-07-18,JULY,38.4,23.4,30.9,26.6,30.7,21.7,69.0,96.0,34.0
2000-07-19,JULY,38.0,24.0,31.0,27.9,32.0,21.3,71.0,98.0,34.0
2000-07-20,JULY,37.4,24.3,30.85,28.9,31.9,25.3,73.0,98.0,42.0
2000-07-21,JULY,38.6,24.0,31.3,29.5,31.4,25.6,77.0,94.0,39.0
2000-07-22,JULY,35.7,23.0,29.35,28.8,32.5,26.3,81.0,99.0,48.0
2000-07-23,JULY,36.4,23.5,29.95,29.1,32.1,24.5,79.0,96.0,49.0
2000-07-24,JULY,36.4,24.4,30.4,29.7,33.4,26.0,77.0,98.0,46.0
2000-07-25,JULY,35.2,22.1,28.65,27.7,32.1,22.1,78.0,97.0,52.0
2000-07-26,JULY,36.3,21.5,28.9,28.1,35.4,24.3,81.0,96.0,48.0
2000-07-27,JULY,35.8,23.3,29.55,29.5,35.2,27.2,81.0,98.0,48.0
2000-07-28,JULY,34.2,22.2,28.2,28.5,32.1,26.0,84.0,98.0,59.0
2000-07-29,JULY,35.2,21.4,28.3,27.1,31.2,24.9,75.0,97.0,49.0
2000-07-30,JULY,35.7,21.8,28.75,27.3,31.3,24.9,75.0,97.0,46.0
2000-07-31,JULY,36.2,23.1,29.65,27.7,30.7,26.0,73.0,95.0,45.0
2000-08-01,AUGUST,35.4,22.0,28.7,28.5,31.1,25.9,85.0,98.0,50.0
2000-08-02,AUGUST,33.2,22.8,28.0,29.5,33.2,26.4,88.0,98.0,63.0
2000-08-03,AUGUST,35.2,23.0,29.1,28.6,32.7,26.7,83.0,98.0,53.0
2000-08-04,AUGUST,35.7,23.5,29.6,28.9,32.9,24.1,82.0,98.0,47.0
2000-08-05,AUGUST,35.3,22.5,28.9,28.8,33.3,26.0,75.0,98.0,48.0
2000-08-06,AUGUST,35.2,22.8,29.0,28.8,31.6,26.4,77.0,96.0,49.0
2000-08-07,AUGUST,33.8,23.5,28.65,28.3,29.6,26.3,86.0,98.0,52.0
2000-08-08,AUGUST,35.4,22.6,29.0,27.2,31.9,26.1,77.0,97.0,49.0
2000-08-09,AUGUST,35.6,21.6,28.6,29.0,32.9,25.4,85.0,99.0,53.0
2000-08-10,AUGUST,32.9,21.9,27.4,27.8,31.1,26.3,90.0,98.0,63.0
2000-08-11,AUGUST,29.7,22.2,25.95,28.4,32.7,26.5,91.0,99.0,68.0
2000-08-12,AUGUST,32.7,22.8,27.75,28.6,32.5,26.3,82.0,99.0,61.0
2000-08-13,AUGUST,33.4,22.5,27.95,29.0,32.7,26.5,84.0,98.0,55.0
2000-08-14,AUGUST,34.8,23.2,29.0,29.7,32.0,26.9,79.0,98.0,51.0
2000-08-15,AUGUST,35.2,23.4,29.3,30.0,33.4,28.1,79.0,98.0,52.0
2000-08-16,AUGUST,34.0,24.5,29.25,30.4,31.9,28.1,81.0,98.0,58.0
2000-08-17,AUGUST,32.7,22.4,27.55,28.7,34.4,25.7,88.0,99.0,61.0
2000-08-18,AUGUST,34.7,20.8,27.75,28.1,31.7,24.5,84.0,100.0,54.0
2000-08-19,AUGUST,33.2,22.0,27.6,28.7,32.9,25.4,87.0,98.0,61.0
2000-08-20,AUGUST,35.2,20.6,27.9,27.1,31.9,22.8,86.0,98.0,49.0
2000-08-21,AUGUST,34.0,18.0,26.0,26.7,32.0,22.0,97.0,99.0,52.0
2000-08-22,AUGUST,34.7,21.2,27.95,28.2,31.9,24.8,82.0,98.0,53.0
2000-08-23,AUGUST,35.5,23.4,29.45,31.0,33.9,28.3,79.0,98.0,54.0
2000-08-24,AUGUST,35.3,24.9,30.1,31.0,33.2,28.3,78.0,98.0,53.0
2000-08-25,AUGUST,35.7,23.0,29.35,30.7,33.1,27.7,79.0,98.0,50.0
2000-08-26,AUGUST,34.4,24.2,29.3,30.1,32.1,28.0,79.0,98.0,53.0
2000-08-27,AUGUST,35.2,23.3,29.25,28.9,30.8,26.9,84.0,99.0,49.0
2000-08-28,AUGUST,34.1,22.5,28.3,29.8,33.2,27.3,85.0,99.0,61.0
2000-08-29,AUGUST,34.2,22.4,28.3,29.2,34.0,26.7,84.0,98.0,53.0
2000-08-30,AUGUST,34.0,21.9,27.95,30.5,33.9,26.1,85.0,99.0,62.0
2000-08-31,AUGUST,32.9,22.5,27.7,28.9,32.0,25.9,87.0,98.0,61.0
2000-09-01,SEPTEMBER,33.4,21.6,27.5,28.1,32.9,25.7,84.0,100.0,56.0
2000-09-02,SEPTEMBER,34.1,21.9,28.0,26.6,33.9,26.0,81.0,99.0,54.0
2000-09-03,SEPTEMBER,34.2,22.1,28.15,29.4,35.1,25.7,84.0,98.0,57.0
2000-09-04,SEPTEMBER,34.9,21.0,27.95,28.8,33.4,24.8,81.0,98.0,53.0
2000-09-05,SEPTEMBER,34.8,21.5,28.15,29.6,32.9,25.3,83.0,98.0,52.0
2000-09-06,SEPTEMBER,33.5,22.3,27.9,29.3,33.2,26.4,89.0,99.0,65.0
2000-09-07,SEPTEMBER,29.0,22.8,25.9,29.7,32.3,26.8,92.0,99.0,67.0
2000-09-08,SEPTEMBER,34.4,23.0,28.7,30.5,34.0,27.7,82.0,100.0,53.0
2000-09-09,SEPTEMBER,35.4,24.0,29.7,31.0,33.9,27.6,82.0,98.0,50.0
2000-09-10,SEPTEMBER,34.9,23.8,29.35,30.0,35.2,27.7,81.0,96.0,51.0
2000-09-11,SEPTEMBER,30.4,22.4,26.4,29.1,32.5,26.0,89.0,98.0,71.0
2000-09-12,SEPTEMBER,34.2,21.4,27.8,28.2,31.4,24.9,87.0,98.0,55.0
2000-09-13,SEPTEMBER,33.6,22.4,28.0,30.7,33.3,26.8,84.0,99.0,64.0
2000-09-14,SEPTEMBER,32.9,23.4,28.15,29.8,31.1,27.3,82.0,98.0,62.0
2000-09-15,SEPTEMBER,31.4,23.1,27.25,30.4,33.3,27.7,88.0,98.0,67.0
2000-09-16,SEPTEMBER,32.4,23.0,27.7,30.3,33.9,28.1,83.0,98.0,63.0
2000-09-17,SEPTEMBER,33.4,22.0,27.7,28.7,35.1,25.7,84.0,97.0,53.0
2000-09-18,SEPTEMBER,33.7,22.4,28.05,29.5,32.4,27.1,89.0,99.0,57.0
2000-09-19,SEPTEMBER,33.4,23.4,28.4,30.2,33.7,28.5,88.0,98.0,59.0
2000-09-20,SEPTEMBER,34.1,23.3,28.7,31.6,33.9,28.4,85.0,99.0,62.0
2000-09-21,SEPTEMBER,34.9,24.0,29.45,31.0,34.0,28.4,87.0,98.0,53.0
2000-09-22,SEPTEMBER,34.4,23.6,29.0,31.2,34.7,28.9,83.0,99.0,57.0
2000-09-23,SEPTEMBER,35.1,23.8,29.45,31.3,33.9,28.7,83.0,98.0,53.0
2000-09-24,SEPTEMBER,34.9,24.9,29.9,31.1,34.3,28.8,85.0,98.0,53.0
2000-09-25,SEPTEMBER,35.3,24.3,29.8,30.6,33.7,28.7,80.0,98.0,52.0
2000-09-26,SEPTEMBER,34.8,23.5,29.15,29.6,32.9,26.7,82.0,98.0,57.0
2000-09-27,SEPTEMBER,34.0,22.0,28.0,29.6,33.7,26.0,84.0,98.0,56.0
2000-09-28,SEPTEMBER,34.0,21.5,27.75,29.3,33.7,25.3,81.0,99.0,56.0
2000-09-29,SEPTEMBER,34.8,22.4,28.6,30.2,32.3,26.8,82.0,100.0,57.0
2000-09-30,SEPTEMBER,34.8,24.4,29.6,30.9,32.5,29.4,83.0,97.0,54.0
2000-10-01,OCTOBER,33.4,23.4,28.4,30.0,33.2,28.1,85.0,96.0,62.0
2000-10-02,OCTOBER,30.9,23.4,27.15,31.0,33.2,29.2,92.0,98.0,72.0
2000-10-03,OCTOBER,33.2,24.6,28.9,31.2,34.1,29.6,88.0,98.0,69.0
2000-10-04,OCTOBER,33.4,23.0,28.2,30.7,35.3,26.5,88.0,97.0,63.0
2000-10-05,OCTOBER,32.4,24.3,28.35,31.4,33.9,29.7,90.0,98.0,67.0
2000-10-06,OCTOBER,34.0,24.2,29.1,30.3,35.4,28.5,81.0,98.0,56.0
2000-10-07,OCTOBER,34.7,24.4,29.55,30.6,32.9,28.5,82.0,98.0,54.0
2000-10-08,OCTOBER,34.7,23.5,29.1,31.2,34.4,28.4,83.0,98.0,55.0
2000-10-09,OCTOBER,28.9,22.6,25.75,28.1,30.4,25.9,88.0,99.0,75.0
